cliente_id,nome,segmento,cidade,estado,pais,codigo_postal,mercado,regiao
NZ-18565,Nick Zandusky,Home Office,Paris,Ile-de-France,France,,EU,Central
SV-10815,Stuart Van,Corporate,Montréal,Quebec,Canada,,Canada,Canada
SC-20695,Steve Chapman,Corporate,Manila,National Capital,Philippines,,APAC,Southeast Asia
NC-18625,Noah Childs,Corporate,Newcastle,New South Wales,Australia,,APAC,Oceania
NF-18385,Natalie Fritzler,Consumer,Graz,Styria,Austria,,EU,Central
PM-18940,Paul MacIntyre,Consumer,Boulogne-Billancourt,Ile-de-France,France,,EU,Central
MZ-17335,Maria Zettner,Home Office,Malakoff,Ile-de-France,France,,EU,Central
HM-4980,Henry MacAllister,Consumer,Kinshasa,Kinshasa,Democratic Republic of the Congo,,Africa,Africa
RW-19540,Rick Wilson,Corporate,Perth,Western Australia,Australia,,APAC,Oceania
LH-17155,Logan Haushalter,Consumer,Le Bouscat,Aquitaine,France,,EU,Central
KM-16660,Khloe Miller,Consumer,Augsburg,Bavaria,Germany,,EU,Central
AB-10060,Adam Bellavance,Home Office,Seattle,Washington,United States,98105.0,US,West
DB-13060,Dave Brooks,Consumer,Gold Coast,Queensland,Australia,,APAC,Oceania
VM-21685,Valerie Mitchum,Home Office,Bergen op Zoom,North Brabant,Netherlands,,EU,Central
DM-13525,Don Miller,Corporate,Hanover,Lower Saxony,Germany,,EU,Central
NM-18520,Neoma Murray,Consumer,Vigo,Galicia,Spain,,EU,South
RO-19780,Rose O'Brian,Consumer,Gaoyou,Jiangsu,China,,APAC,North Asia
SB-20185,Sarah Brown,Consumer,Los Angeles,California,United States,90045.0,US,West
EM-14065,Erin Mull,Consumer,Bremen,Bremen,Germany,,EU,Central
RS-19765,Roland Schwarz,Corporate,Los Angeles,California,United States,90008.0,US,West
ON-18715,Odella Nelson,Corporate,Muret,Midi-Pyrénées,France,,EU,Central
VS-21820,Vivek Sundaresam,Consumer,Zigong,Sichuan,China,,APAC,North Asia
CM-12115,Chad McGuire,Consumer,Adelaide,South Australia,Australia,,APAC,Oceania
TB-21400,Tom Boeckenhauer,Consumer,New York City,New York,United States,10024.0,US,East
AB-10105,Adrian Barton,Consumer,Detroit,Michigan,United States,48205.0,US,Central
DW-13540,Don Weiss,Consumer,Kuantan,Pahang,Malaysia,,APAC,Southeast Asia
PS-19045,Penelope Sewall,Home Office,Harrisonburg,Virginia,United States,22801.0,US,South
CC-12370,Christopher Conant,Consumer,Philadelphia,Pennsylvania,United States,19120.0,US,East
TC-21295,Toby Carlisle,Consumer,Everett,Massachusetts,United States,2149.0,US,East
GM-14440,Gary McGarr,Consumer,Quito,Pichincha,Ecuador,,LATAM,South
SV-20815,Stuart Van,Corporate,Vadodara,Gujarat,India,,APAC,Central Asia
MM-17920,Michael Moore,Consumer,Sanya,Hainan,China,,APAC,North Asia
JK-16120,Julie Kriz,Home Office,Palembang,Sumatera Selatan,Indonesia,,APAC,Southeast Asia
DJ-13510,Don Jones,Corporate,San Diego,California,United States,92037.0,US,West
AT-10435,Alyssa Tate,Home Office,Guaymas,Sonora,Mexico,,LATAM,North
AB-10015,Aaron Bergman,Consumer,Wuhan,Hubei,China,,APAC,North Asia
RP-19390,Resi Pölking,Consumer,Madison,Wisconsin,United States,53711.0,US,Central
MJ-17740,Max Jones,Consumer,San Diego,California,United States,92037.0,US,West
PV-18985,Paul Van Hugh,Home Office,Salto,São Paulo,Brazil,,LATAM,South
SB-20290,Sean Braxton,Corporate,Treviso,Veneto,Italy,,EU,South
SM-10005,Sally Matthias,Consumer,Hargeysa,Woqooyi Galbeed,Somalia,,Africa,Africa
KH-16330,Katharine Harms,Corporate,Yogyakarta,Yogyakarta,Indonesia,,APAC,Southeast Asia
MP-18175,Mike Pelletier,Home Office,Perth,Western Australia,Australia,,APAC,Oceania
LH-17020,Lisa Hazard,Consumer,Anshan,Liaoning,China,,APAC,North Asia
ND-18370,Natalie DeCherney,Consumer,New York City,New York,United States,10035.0,US,East
CR-12625,Corey Roper,Home Office,Brisbane,Queensland,Australia,,APAC,Oceania
GM-14680,Greg Matthias,Consumer,Amsterdam,North Holland,Netherlands,,EU,Central
RA-19945,Ryan Akin,Consumer,Le Petit-Quevilly,Upper Normandy,France,,EU,Central
BW-11110,Bart Watters,Corporate,Detroit,Michigan,United States,48205.0,US,Central
RF-19735,Roland Fjeld,Consumer,Perth,Western Australia,Australia,,APAC,Oceania
AG-10675,Anna Gayman,Consumer,Houston,Texas,United States,77036.0,US,Central
DM-12955,Dario Medina,Corporate,Mixco,Guatemala,Guatemala,,LATAM,Central
KD-16270,Karen Daniels,Consumer,Yonkers,New York,United States,10701.0,US,East
BE-11335,Bill Eplett,Home Office,Morelia,Michoacán,Mexico,,LATAM,North
SO-20335,Sean O'Donnell,Consumer,Changchun,Jilin,China,,APAC,North Asia
DK-12835,Damala Kotsonis,Corporate,Madrid,Madrid,Spain,,EU,South
LC-7050,Liz Carlisle,Consumer,Jeddah,Makkah,Saudi Arabia,,EMEA,EMEA
CG-12520,Claire Gute,Consumer,Adelaide,South Australia,Australia,,APAC,Oceania
TB-21280,Toby Braunhardt,Consumer,Norman,Oklahoma,United States,73071.0,US,Central
HG-15025,Hunter Glantz,Consumer,Medan,Sumatera Utara,Indonesia,,APAC,Southeast Asia
AD-10180,Alan Dominguez,Home Office,Jakarta,Jakarta,Indonesia,,APAC,Southeast Asia
BP-11155,Becky Pak,Consumer,London,England,United Kingdom,,EU,North
AA-10480,Andrew Allen,Consumer,Bangkok,Bangkok,Thailand,,APAC,Southeast Asia
RL-19615,Rob Lucas,Consumer,Newcastle,New South Wales,Australia,,APAC,Oceania
CS-12505,Cindy Stewart,Consumer,Lancaster,Ohio,United States,43130.0,US,East
SW-20245,Scot Wooten,Consumer,Surakarta,Jawa Tengah,Indonesia,,APAC,Southeast Asia
TA-21385,Tom Ashbrook,Home Office,New York City,New York,United States,10024.0,US,East
YC-21895,Yoseph Carroll,Corporate,London,England,United Kingdom,,EU,North
JM-15580,Jill Matthias,Consumer,Tulancingo,Hidalgo,Mexico,,LATAM,North
MZ-7335,Maria Zettner,Home Office,Brest,Brest,Belarus,,EMEA,EMEA
JF-15295,Jason Fortune-,Consumer,Valencia,Valenciana,Spain,,EU,South
JL-15835,John Lee,Consumer,Charlotte,North Carolina,United States,28205.0,US,South
DJ-3510,Don Jones,Corporate,Zhytomyr,Zhytomyr,Ukraine,,EMEA,EMEA
MF-18250,Monica Federle,Corporate,Argenteuil,Ile-de-France,France,,EU,Central
JE-15610,Jim Epp,Corporate,Atlanta,Georgia,United States,30318.0,US,South
CP-12340,Christine Phan,Corporate,Aurangabad,Bihar,India,,APAC,Central Asia
EH-14125,Eugene Hildebrand,Home Office,Plaisir,Ile-de-France,France,,EU,Central
NC-18340,Nat Carroll,Consumer,Melbourne,Victoria,Australia,,APAC,Oceania
JS-16030,Joy Smith,Consumer,Medan,Sumatera Utara,Indonesia,,APAC,Southeast Asia
AM-10360,Alice McCarthy,Corporate,Harrogate,England,United Kingdom,,EU,North
JF-15190,Jamie Frazer,Consumer,Phnom Penh,Phnom Penh,Cambodia,,APAC,Southeast Asia
JG-15160,James Galang,Consumer,Stockton-on-Tees,England,United Kingdom,,EU,North
DP-13390,Dennis Pardue,Home Office,North Las Vegas,Nevada,United States,89031.0,US,West
AG-10330,Alex Grayson,Consumer,Jambi,Jambi,Indonesia,,APAC,Southeast Asia
GK-14620,Grace Kelly,Corporate,Los Angeles,California,United States,90049.0,US,West
NF-18475,Neil Französisch,Home Office,Moers,North Rhine-Westphalia,Germany,,EU,Central
DR-12940,Daniel Raglin,Home Office,Townsville,Queensland,Australia,,APAC,Oceania
NB-18655,Nona Balk,Corporate,Hamburg,Hamburg,Germany,,EU,Central
NM-18445,Nathan Mautz,Home Office,Shenzhen,Guangdong,China,,APAC,North Asia
NP-18670,Nora Paige,Consumer,Lakewood,New Jersey,United States,8701.0,US,East
SC-20380,Shahid Collister,Consumer,Marikina,National Capital,Philippines,,APAC,Southeast Asia
PA-9060,Pete Armstrong,Home Office,Johannesburg,Gauteng,South Africa,,Africa,Africa
RB-19570,Rob Beeghly,Consumer,Barakaldo,Basque Country,Spain,,EU,South
SR-20740,Steven Roelle,Home Office,New York City,New York,United States,10024.0,US,East
RH-19510,Rick Huthwaite,Home Office,Providence,Rhode Island,United States,2908.0,US,East
LH-16750,Larry Hughes,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,,LATAM,Caribbean
KB-16585,Ken Black,Corporate,Qingdao,Shandong,China,,APAC,North Asia
EM-13810,Eleni McCrary,Corporate,San Francisco,California,United States,94122.0,US,West
MZ-7515,Mary Zewe,Corporate,Shiraz,Fars,Iran,,EMEA,EMEA
DM-13345,Denise Monton,Corporate,Bokaro,Jharkhand,India,,APAC,Central Asia
CA-11965,Carol Adams,Corporate,Fuji,Shizuoka,Japan,,APAC,North Asia
SC-20305,Sean Christensen,Consumer,Benidorm,Valenciana,Spain,,EU,South
MH-18115,Mick Hernandez,Home Office,Kozhikode,Kerala,India,,APAC,Central Asia
KS-16300,Karen Seio,Corporate,Adelaide,South Australia,Australia,,APAC,Oceania
BG-11740,Bruce Geld,Consumer,Kuala Lumpur,Kuala Lumpur,Malaysia,,APAC,Southeast Asia
CR-2625,Corey Roper,Home Office,Astrakhan',Astrakhan',Russia,,EMEA,EMEA
CB-12415,Christy Brittain,Consumer,Columbus,Ohio,United States,43229.0,US,East
AP-10720,Anne Pryor,Home Office,Jabalpur,Madhya Pradesh,India,,APAC,Central Asia
CR-12820,Cyra Reiten,Home Office,Patna,Bihar,India,,APAC,Central Asia
BF-11080,Bart Folk,Consumer,Adelaide,South Australia,Australia,,APAC,Oceania
JM-15265,Janet Molinari,Corporate,Marikina,National Capital,Philippines,,APAC,Southeast Asia
TW-21025,Tamara Willingham,Home Office,La Baule-Escoublac,Pays de la Loire,France,,EU,Central
RB-19330,Randy Bradley,Consumer,Dijon,Burgundy,France,,EU,Central
JA-15970,Joseph Airdo,Consumer,Philadelphia,Pennsylvania,United States,19134.0,US,East
AB-60,Adam Bellavance,Home Office,Cape Town,Western Cape,South Africa,,Africa,Africa
JR-5670,Jim Radford,Consumer,Cairo,Al Qahirah,Egypt,,Africa,Africa
MD-17350,Maribeth Dona,Consumer,Medellín,Antioquia,Colombia,,LATAM,South
PK-19075,Pete Kriz,Consumer,New York City,New York,United States,10035.0,US,East
TP-21130,Theone Pippenger,Consumer,Detroit,Michigan,United States,48227.0,US,Central
JK-15640,Jim Kriz,Home Office,Seattle,Washington,United States,98105.0,US,West
CD-11920,Carlos Daly,Consumer,New York City,New York,United States,10035.0,US,East
JL-5835,John Lee,Consumer,Baku,Baki,Azerbaijan,,EMEA,EMEA
EP-13915,Emily Phan,Consumer,Jakarta,Jakarta,Indonesia,,APAC,Southeast Asia
MS-17770,Maxwell Schwartz,Consumer,Burnley,England,United Kingdom,,EU,North
CM-12655,Corinna Mitchell,Home Office,Laval,Pays de la Loire,France,,EU,Central
JC-6105,Julie Creighton,Corporate,Vilnius,Vilnius,Lithuania,,EMEA,EMEA
GB-14530,George Bell,Corporate,Brisbane,Queensland,Australia,,APAC,Oceania
JH-16180,Justin Hirsh,Consumer,Buenos Aires,Buenos Aires,Argentina,,LATAM,South
MT-8070,Michelle Tran,Home Office,Girga,Suhaj,Egypt,,Africa,Africa
CV-2805,Cynthia Voltz,Corporate,Maseru,Maseru,Lesotho,,Africa,Africa
NH-18610,Nicole Hansen,Corporate,Wellington,Wellington,New Zealand,,APAC,Oceania
HJ-14875,Heather Jas,Home Office,Luoyang,Henan,China,,APAC,North Asia
JL-15175,James Lanier,Home Office,Feira de Santana,Bahia,Brazil,,LATAM,South
MY-18295,Muhammed Yedwab,Corporate,Matagalpa,Matagalpa,Nicaragua,,LATAM,Central
MW-18235,Mitch Willingham,Corporate,Virginia Beach,Virginia,United States,23464.0,US,South
KC-16540,Kelly Collister,Consumer,Managua,Managua,Nicaragua,,LATAM,Central
HA-14920,Helen Andreada,Consumer,Wuhai,Inner Mongolia,China,,APAC,North Asia
MT-17815,Meg Tillman,Consumer,Nantes,Pays de la Loire,France,,EU,Central
FW-14395,Fred Wasserman,Corporate,Strasbourg,Alsace,France,,EU,Central
BH-11710,Brosina Hoffman,Consumer,Berlin,Berlin,Germany,,EU,Central
DK-12895,Dana Kaydos,Consumer,Surabaya,Jawa Timur,Indonesia,,APAC,Southeast Asia
SC-20845,Sung Chung,Consumer,Vienna,Vienna,Austria,,EU,Central
CY-12745,Craig Yedwab,Corporate,Mexico City,Distrito Federal,Mexico,,LATAM,North
HL-15040,Hunter Lopez,Consumer,Hobart,Tasmania,Australia,,APAC,Oceania
CT-11995,Carol Triggs,Consumer,Hirakata,Osaka,Japan,,APAC,North Asia
GR-4560,Georgia Rosenberg,Corporate,Maseru,Maseru,Lesotho,,Africa,Africa
TT-21070,Ted Trevino,Consumer,Agra,Uttar Pradesh,India,,APAC,Central Asia
PO-19195,Phillina Ober,Home Office,Granollers,Catalonia,Spain,,EU,South
ED-13885,Emily Ducich,Home Office,Ho Chi Minh City,Ho Chí Minh City,Vietnam,,APAC,Southeast Asia
TM-21490,Tony Molinari,Consumer,Camagüey,Camagüey,Cuba,,LATAM,Caribbean
AW-10840,Anthony Witt,Consumer,Amsterdam,North Holland,Netherlands,,EU,Central
AT-10735,Annie Thurman,Consumer,Morristown,New Jersey,United States,7960.0,US,East
SG-10605,Speros Goranitis,Consumer,Piatra-Neamt,Neamt,Romania,,EMEA,EMEA
BM-11785,Bryan Mills,Consumer,Milpa Alta,Distrito Federal,Mexico,,LATAM,North
DK-13375,Dennis Kane,Consumer,León,Guanajuato,Mexico,,LATAM,North
PF-19225,Phillip Flathmann,Consumer,Los Angeles,California,United States,90032.0,US,West
TG-21310,Toby Gnade,Consumer,Los Angeles,California,United States,90049.0,US,West
SF-10200,Sarah Foster,Consumer,Izmir,Izmir,Turkey,,EMEA,EMEA
JW-5220,Jane Waco,Corporate,Dakar,Dakar,Senegal,,Africa,Africa
CC-12100,Chad Cunningham,Home Office,Coyoacán,Distrito Federal,Mexico,,LATAM,North
RD-19930,Russell D'Ascenzo,Consumer,Manukau City,Auckland,New Zealand,,APAC,Oceania
BP-1230,Benjamin Patterson,Consumer,Yaounde,Centre,Cameroon,,Africa,Africa
CS-12175,Charles Sheldon,Corporate,Bangkok,Bangkok,Thailand,,APAC,Southeast Asia
JD-16060,Julia Dunbar,Consumer,Santander,Cantabria,Spain,,EU,South
GH-14665,Greg Hansen,Consumer,Cangzhou,Hebei,China,,APAC,North Asia
CM-11935,Carlos Meador,Consumer,Shanghai,Shanghai,China,,APAC,North Asia
RB-9465,Rick Bensley,Home Office,Rybinsk,Yaroslavl',Russia,,EMEA,EMEA
RB-19795,Ross Baird,Home Office,Ibiúna,São Paulo,Brazil,,LATAM,South
DL-13495,Dionis Lloyd,Corporate,Philadelphia,Pennsylvania,United States,19120.0,US,East
TS-21205,Thomas Seio,Corporate,Canberra,Australian Capital Territory,Australia,,APAC,Oceania
MV-8190,Mike Vittorini,Consumer,Port Elizabeth,Eastern Cape,South Africa,,Africa,Africa
BD-11560,Brendan Dodson,Home Office,Cambridge,England,United Kingdom,,EU,North
PS-18760,Pamela Stobb,Consumer,Bandung,Jawa Barat,Indonesia,,APAC,Southeast Asia
FM-14215,Filia McAdams,Corporate,Mixco,Guatemala,Guatemala,,LATAM,Central
CA-12775,Cynthia Arntzen,Consumer,Kota,Chhattisgarh,India,,APAC,Central Asia
CD-12790,Cynthia Delaney,Home Office,Munster,Lower Saxony,Germany,,EU,Central
NL-18310,Nancy Lomonaco,Home Office,Christchurch,Canterbury,New Zealand,,APAC,Oceania
TB-21055,Ted Butterfield,Consumer,Vincennes,Ile-de-France,France,,EU,Central
EH-4125,Eugene Hildebrand,Home Office,Gyula,Bekes,Hungary,,EMEA,EMEA
KB-16600,Ken Brennan,Corporate,Lucknow,Uttar Pradesh,India,,APAC,Central Asia
KW-16435,Katrina Willman,Consumer,Florence,Kentucky,United States,41042.0,US,South
MG-17695,Maureen Gnade,Consumer,Turin,Piedmont,Italy,,EU,South
HM-14860,Harry Marie,Corporate,Springfield,Missouri,United States,65807.0,US,Central
BP-11290,Beth Paige,Consumer,Singapore,Singapore,Singapore,,APAC,Southeast Asia
HZ-4950,Henia Zydlo,Consumer,Benguela,Benguela,Angola,,Africa,Africa
TC-20980,Tamara Chand,Corporate,Lafayette,Indiana,United States,47905.0,US,Central
EM-13825,Elizabeth Moffitt,Corporate,Himeji,Hyogo,Japan,,APAC,North Asia
BS-11800,Bryan Spruell,Home Office,Kendari,Sulawesi Tenggara,Indonesia,,APAC,Southeast Asia
DV-13465,Dianna Vittorini,Consumer,Mejicanos,San Salvador,El Salvador,,LATAM,Central
MB-17305,Maria Bertelson,Consumer,Sydney,New South Wales,Australia,,APAC,Oceania
PC-19000,Pauline Chand,Home Office,Barcelona,Catalonia,Spain,,EU,South
CA-12310,Christine Abelman,Corporate,Menton,Provence-Alpes-Côte d'Azur,France,,EU,Central
KC-16255,Karen Carlisle,Corporate,Huntsville,Alabama,United States,35810.0,US,South
DB-3660,Duane Benoit,Consumer,Buzau,Buzau,Romania,,EMEA,EMEA
SC-20260,Scott Cohen,Corporate,San Francisco,California,United States,94122.0,US,West
BD-11500,Bradley Drucker,Consumer,Columbus,Georgia,United States,31907.0,US,South
BM-11140,Becky Martin,Consumer,San Antonio,Texas,United States,78207.0,US,Central
KB-16315,Karl Braun,Consumer,Kuala Lumpur,Kuala Lumpur,Malaysia,,APAC,Southeast Asia
JM-15865,John Murray,Consumer,Jamestown,New York,United States,14701.0,US,East
AF-10885,Art Foster,Consumer,Bayeux,Lower Normandy,France,,EU,Central
SJ-20500,Shirley Jackson,Consumer,Lens,Nord-Pas-de-Calais,France,,EU,Central
WB-21850,William Brown,Consumer,Los Angeles,California,United States,90049.0,US,West
CC-12610,Corey Catlett,Corporate,Iserlohn,North Rhine-Westphalia,Germany,,EU,Central
BE-11455,Brad Eason,Home Office,Sydney,New South Wales,Australia,,APAC,Oceania
TG-21640,Trudy Glocke,Consumer,Ghent,East Flanders,Belgium,,EU,Central
MS-17365,Maribeth Schnelling,Consumer,Los Angeles,California,United States,90045.0,US,West
NP-18685,Nora Pelletier,Home Office,Indianapolis,Indiana,United States,46203.0,US,Central
RM-19675,Robert Marley,Home Office,Los Angeles,California,United States,90049.0,US,West
SN-20560,Skye Norling,Home Office,Lahore,Punjab,Pakistan,,APAC,Central Asia
CD-12280,Christina DeMoss,Consumer,Sydney,New South Wales,Australia,,APAC,Oceania
BG-11035,Barry Gonzalez,Consumer,Espoo,Uusimaa,Finland,,EU,North
CC-12550,Clay Cheatham,Consumer,Whyalla,South Australia,Australia,,APAC,Oceania
SV-20785,Stewart Visinsky,Consumer,Medan,Sumatera Utara,Indonesia,,APAC,Southeast Asia
HW-14935,Helen Wasserman,Corporate,Ivry-sur-Seine,Ile-de-France,France,,EU,Central
AS-10285,Alejandro Savely,Corporate,Kanpur,Uttar Pradesh,India,,APAC,Central Asia
LD-16855,Lela Donovan,Corporate,Saint-Laurent-du-Var,Provence-Alpes-Côte d'Azur,France,,EU,Central
NS-18505,Neola Schneider,Consumer,Cartagena,Bolívar,Colombia,,LATAM,South
CM-12715,Craig Molinari,Corporate,Cancún,Quintana Roo,Mexico,,LATAM,North
JD-6060,Julia Dunbar,Consumer,Kumasi,Ashanti,Ghana,,Africa,Africa
MG-17680,Maureen Gastineau,Home Office,Ho Chi Minh City,Ho Chí Minh City,Vietnam,,APAC,Southeast Asia
DB-13210,Dean Braden,Consumer,London,England,United Kingdom,,EU,North
CS-11860,Cari Schnelling,Consumer,Vienna,Vienna,Austria,,EU,Central
GG-14650,Greg Guthrie,Corporate,Angers,Pays de la Loire,France,,EU,Central
